Dollars,Date,Account,Type,Category,Vendor,Tags
($775.00),4/1/2025,USAA S,expense,Rent,6640 Pasado,
($11.00),4/1/2025,USAA C,expense,Food,Coral Tree,Eating out
($5.99),4/2/2025,USAA C,expense,Subscription,Spotify,
($5.30),4/3/2025,USAA C,expense,Parking,UCSB,
$83.99 ,4/7/2025,USAA C,reimburstment,Lodging,SLO hotel,
$100.00 ,4/7/2025,USAA C,transfer,,,
($4.00),4/7/2025,USAA C,expense,Parking,UCSB,
($17.19),4/7/2025,USAA C,expense,Food,Hummus Republic,Eating out
($36.64),4/7/2025,USAA C,expense,Fuel,Costco,
($54.62),4/7/2025,USAA C,expense,Clothing,State Street,Second hand
($75.77),4/8/2025,USAA C,expense,Health,Wisdom Teeth,Financing
($7.80),4/8/2025,USAA C,expense,Food,Hot dog stand,"Eating out, Fast food"
($9.00),4/8/2025,USAA C,expense,Food,Blenders,Eating out
$240.26 ,4/8/2025,USAA C,income,Job,DREAM Lab,
($179.00),4/2/2025,USAA S,expense,Transportation,Registration,Green Machine
($44.00),4/4/2025,USAA S,transfer,,,
($987.00),4/7/2025,USAA S,transfer,,,
($100.00),4/7/2025,USAA S,transfer,,,
$60.06 ,4/8/2025,USAA S,income,Job,DREAM Lab,
($200.00),4/9/2025,USAA S,transfer,,,
($100.00),4/14/2025,USAA S,transfer,,,
($138.57),4/14/2025,USAA S,transfer,,,
($298.00),4/14/2025,USAA S,expense,Transportation,Registration,Kia Niro
($300.00),4/14/2025,USAA S,transfer,,,
($269.00),4/15/2025,USAA S,transfer,,,
($48.00),4/16/2025,USAA S,expense,Parking,UCSB,Ticket
($33.00),4/16/2025,USAA S,transfer,,,
($775.00),4/16/2025,USAA S,transfer,,,
$100.00 ,4/16/2025,USAA S,transfer,,,
$200.00 ,4/9/2025,USAA C,transfer,,,
($7.59),4/9/2025,USAA C,expense,Food,Costco,"Eating out, Fast food"
($22.00),4/9/2025,USAA C,expense,Utilities,Wifi,
($22.88),4/9/2025,USAA C,expense,Food ,Corazon Cocina,
