text,Dollars,Date,Account,Type,Category,Vendor,Tags,Amount,weekday,is_weekend,is_fixed
"On 2025-04-01, you spent $775.00 at 6640 pasado (Category: rent) using usaa s. ",($775.00),2025-04-01,usaa s,expense,rent,6640 pasado,,775.0,Tuesday,False,True
"On 2025-04-01, you spent $11.00 at coral tree (Category: food) using usaa c. (tags: eating out)",($11.00),2025-04-01,usaa c,expense,food,coral tree,eating out,11.0,Tuesday,False,False
"On 2025-04-02, you spent $5.99 at spotify (Category: subscription) using usaa c. ",($5.99),2025-04-02,usaa c,expense,subscription,spotify,,5.99,Wednesday,False,True
"On 2025-04-03, you spent $5.30 at ucsb (Category: parking) using usaa c. ",($5.30),2025-04-03,usaa c,expense,parking,ucsb,,5.3,Thursday,False,False
"On 2025-04-07, a transaction of $83.99 occurred at slo hotel (Type: reimburstment, Category: lodging) using usaa c. ",$83.99 ,2025-04-07,usaa c,reimburstment,lodging,slo hotel,,-83.99,Monday,False,False
"On 2025-04-07, $100.00 was transferred involving  (Category: ) from usaa c. ",$100.00 ,2025-04-07,usaa c,transfer,,,,-100.0,Monday,False,False
"On 2025-04-07, you spent $4.00 at ucsb (Category: parking) using usaa c. ",($4.00),2025-04-07,usaa c,expense,parking,ucsb,,4.0,Monday,False,False
"On 2025-04-07, you spent $17.19 at hummus republic (Category: food) using usaa c. (tags: eating out)",($17.19),2025-04-07,usaa c,expense,food,hummus republic,eating out,17.19,Monday,False,False
"On 2025-04-07, you spent $36.64 at costco (Category: fuel) using usaa c. ",($36.64),2025-04-07,usaa c,expense,fuel,costco,,36.64,Monday,False,False
"On 2025-04-07, you spent $54.62 at state street (Category: clothing) using usaa c. (tags: second hand)",($54.62),2025-04-07,usaa c,expense,clothing,state street,second hand,54.62,Monday,False,False
"On 2025-04-08, you spent $75.77 at wisdom teeth (Category: health) using usaa c. (tags: financing)",($75.77),2025-04-08,usaa c,expense,health,wisdom teeth,financing,75.77,Tuesday,False,False
"On 2025-04-08, you spent $7.80 at hot dog stand (Category: food) using usaa c. (tags: eating out, fast food)",($7.80),2025-04-08,usaa c,expense,food,hot dog stand,"eating out, fast food",7.8,Tuesday,False,False
"On 2025-04-08, you spent $9.00 at blenders (Category: food) using usaa c. (tags: eating out)",($9.00),2025-04-08,usaa c,expense,food,blenders,eating out,9.0,Tuesday,False,False
"On 2025-04-08, you received an income of $240.26 from dream lab (Category: job) into usaa c. ",$240.26 ,2025-04-08,usaa c,income,job,dream lab,,-240.26,Tuesday,False,False
"On 2025-04-02, you spent $179.00 at registration (Category: transportation) using usaa s. (tags: green machine)",($179.00),2025-04-02,usaa s,expense,transportation,registration,green machine,179.0,Wednesday,False,False
"On 2025-04-04, $44.00 was transferred involving  (Category: ) from usaa s. ",($44.00),2025-04-04,usaa s,transfer,,,,44.0,Friday,False,False
"On 2025-04-07, $987.00 was transferred involving  (Category: ) from usaa s. ",($987.00),2025-04-07,usaa s,transfer,,,,987.0,Monday,False,False
"On 2025-04-07, $100.00 was transferred involving  (Category: ) from usaa s. ",($100.00),2025-04-07,usaa s,transfer,,,,100.0,Monday,False,False
"On 2025-04-08, you received an income of $60.06 from dream lab (Category: job) into usaa s. ",$60.06 ,2025-04-08,usaa s,income,job,dream lab,,-60.06,Tuesday,False,False
"On 2025-04-09, $200.00 was transferred involving  (Category: ) from usaa s. ",($200.00),2025-04-09,usaa s,transfer,,,,200.0,Wednesday,False,False
"On 2025-04-14, $100.00 was transferred involving  (Category: ) from usaa s. ",($100.00),2025-04-14,usaa s,transfer,,,,100.0,Monday,False,False
"On 2025-04-14, $138.57 was transferred involving  (Category: ) from usaa s. ",($138.57),2025-04-14,usaa s,transfer,,,,138.57,Monday,False,False
